"","X","frsid","cas","column_label","year","trifd","facility_name","city","county","state","zip","lat","lon","ind_sector_cd","chemical.x","metal","carcinogen","units","fugitive","stack","cas_length","cas_std.x","cas_std.y","chemical_name","iarc_group","chemical.y","yr_added","expansion1995","core1988","core1995","core1998","core2000","core2001","facility_id","facility_number","rsei_street_address","rsei_county_fips","rsei_state_fips","stack_height","stack_height_source","industry1998","tri_date","stack_daily","fugative_daily"
"1",7670,110000468921,71432,"tri_1999_ut",1999,"84054BGWST333WE","BIG WEST OIL LLC","NORTH SALT LAKE","DAVIS","UT",84054,40.838386,-111.921443,324,"BENZENE","NO","YES","Pounds",4740,0,5,"71-43-2","71-43-2","Benzene","1","Benzene",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84054BGWST333WE",52355,"333 W CENTER ST",49011,49,53.6,"Fac Spec",NA,"1999-01-01",0,13.021978021978
"2",7671,110000468921,71432,"tri_1999_ut",1999,"84054BGWST333WE","BIG WEST OIL LLC","NORTH SALT LAKE","DAVIS","UT",84054,40.838386,-111.921443,324,"BENZENE","NO","YES","Pounds",4740,0,5,"71-43-2","71-43-2","Benzene","1","Benzene",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84054BGWST333WE",52355,"333 W CENTER ST",49011,49,53.6,"Fac Spec",NA,"1999-01-02",0,13.021978021978
"3",7672,110000468921,71432,"tri_1999_ut",1999,"84054BGWST333WE","BIG WEST OIL LLC","NORTH SALT LAKE","DAVIS","UT",84054,40.838386,-111.921443,324,"BENZENE","NO","YES","Pounds",4740,0,5,"71-43-2","71-43-2","Benzene","1","Benzene",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84054BGWST333WE",52355,"333 W CENTER ST",49011,49,53.6,"Fac Spec",NA,"1999-01-03",0,13.021978021978
"4",7673,110000468921,71432,"tri_1999_ut",1999,"84054BGWST333WE","BIG WEST OIL LLC","NORTH SALT LAKE","DAVIS","UT",84054,40.838386,-111.921443,324,"BENZENE","NO","YES","Pounds",4740,0,5,"71-43-2","71-43-2","Benzene","1","Benzene",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84054BGWST333WE",52355,"333 W CENTER ST",49011,49,53.6,"Fac Spec",NA,"1999-01-04",0,13.021978021978
"5",7674,110000468921,71432,"tri_1999_ut",1999,"84054BGWST333WE","BIG WEST OIL LLC","NORTH SALT LAKE","DAVIS","UT",84054,40.838386,-111.921443,324,"BENZENE","NO","YES","Pounds",4740,0,5,"71-43-2","71-43-2","Benzene","1","Benzene",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84054BGWST333WE",52355,"333 W CENTER ST",49011,49,53.6,"Fac Spec",NA,"1999-01-05",0,13.021978021978
"6",7675,110000468921,71432,"tri_1999_ut",1999,"84054BGWST333WE","BIG WEST OIL LLC","NORTH SALT LAKE","DAVIS","UT",84054,40.838386,-111.921443,324,"BENZENE","NO","YES","Pounds",4740,0,5,"71-43-2","71-43-2","Benzene","1","Benzene",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84054BGWST333WE",52355,"333 W CENTER ST",49011,49,53.6,"Fac Spec",NA,"1999-01-06",0,13.021978021978
"7",7676,110000468921,71432,"tri_1999_ut",1999,"84054BGWST333WE","BIG WEST OIL LLC","NORTH SALT LAKE","DAVIS","UT",84054,40.838386,-111.921443,324,"BENZENE","NO","YES","Pounds",4740,0,5,"71-43-2","71-43-2","Benzene","1","Benzene",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84054BGWST333WE",52355,"333 W CENTER ST",49011,49,53.6,"Fac Spec",NA,"1999-01-07",0,13.021978021978
"8",7677,110000468921,71432,"tri_1999_ut",1999,"84054BGWST333WE","BIG WEST OIL LLC","NORTH SALT LAKE","DAVIS","UT",84054,40.838386,-111.921443,324,"BENZENE","NO","YES","Pounds",4740,0,5,"71-43-2","71-43-2","Benzene","1","Benzene",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84054BGWST333WE",52355,"333 W CENTER ST",49011,49,53.6,"Fac Spec",NA,"1999-01-08",0,13.021978021978
"9",7678,110000468921,71432,"tri_1999_ut",1999,"84054BGWST333WE","BIG WEST OIL LLC","NORTH SALT LAKE","DAVIS","UT",84054,40.838386,-111.921443,324,"BENZENE","NO","YES","Pounds",4740,0,5,"71-43-2","71-43-2","Benzene","1","Benzene",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84054BGWST333WE",52355,"333 W CENTER ST",49011,49,53.6,"Fac Spec",NA,"1999-01-09",0,13.021978021978
"10",7679,110000468921,71432,"tri_1999_ut",1999,"84054BGWST333WE","BIG WEST OIL LLC","NORTH SALT LAKE","DAVIS","UT",84054,40.838386,-111.921443,324,"BENZENE","NO","YES","Pounds",4740,0,5,"71-43-2","71-43-2","Benzene","1","Benzene",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84054BGWST333WE",52355,"333 W CENTER ST",49011,49,53.6,"Fac Spec",NA,"1999-01-10",0,13.021978021978
"11",7680,110000468921,71432,"tri_1999_ut",1999,"84054BGWST333WE","BIG WEST OIL LLC","NORTH SALT LAKE","DAVIS","UT",84054,40.838386,-111.921443,324,"BENZENE","NO","YES","Pounds",4740,0,5,"71-43-2","71-43-2","Benzene","1","Benzene",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84054BGWST333WE",52355,"333 W CENTER ST",49011,49,53.6,"Fac Spec",NA,"1999-01-11",0,13.021978021978
"12",7681,110000468921,71432,"tri_1999_ut",1999,"84054BGWST333WE","BIG WEST OIL LLC","NORTH SALT LAKE","DAVIS","UT",84054,40.838386,-111.921443,324,"BENZENE","NO","YES","Pounds",4740,0,5,"71-43-2","71-43-2","Benzene","1","Benzene",1987,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"84054BGWST333WE",52355,"333 W CENTER ST",49011,49,53.6,"Fac Spec",NA,"1999-01-12",0,13.021978021978
