,CAS_No,Group,YEAR,TRIFD,FRSID,FACILITYNAME,CITY,COUNTY,ST,ZIP,LATITUDE,LONGITUDE,INDUSTRYSECTORCODE,INDUSTRYSECTORCODE,INDUSTRYSECTOR,CHEMICAL,CAS#/COMPOUNDID,METAL,CARCINOGEN,UNITOFMEASURE,51-FUGITIVEAIR,52-STACKAIR,INDUSTRYSECTORCODE,INDUSTRYSECTORCODE,PRODUCTIONWSTE(81-87),StackHeight,StackVelocity,StackDiameter,StackHeightSource,StackVelocitySource,StackDiameterSource
0,000098953,2B,2010,84029SFTYK11600,110000906985,CLEAN HARBORS ARAGONITE LLC,GRANTSVILLE,TOOELE,UT,84029,40.7344,-112.9681,562,562,Hazardous Waste,NITROBENZENE,000098953,NO,YES,Pounds,0.0,5.0,562,562,97950.0,35.6,15.6,1.4,Fac Spec,Fac Spec,Fac Spec
1,000098953,2B,2011,84029SFTYK11600,110000906985,CLEAN HARBORS ARAGONITE LLC,GRANTSVILLE,TOOELE,UT,84029,40.7344,-112.9681,562,562,Hazardous Waste,NITROBENZENE,000098953,NO,YES,Pounds,0.0,2.0,562,562,23127.0,35.6,15.6,1.4,Fac Spec,Fac Spec,Fac Spec
2,000098953,2B,2013,84029SFTYK11600,110000906985,CLEAN HARBORS ARAGONITE LLC,GRANTSVILLE,TOOELE,UT,84029,40.7344,-112.9681,562,562,Hazardous Waste,NITROBENZENE,000098953,NO,YES,Pounds,0.02,1.0,562,562,15749.02,35.6,15.6,1.4,Fac Spec,Fac Spec,Fac Spec
3,000098828,2B,1990,84103MCLCM474WE,110000469243,TESORO REFINING & MARKETING COMPANY LLC - SLC,SALT LAKE CITY,SALT LAKE,UT,84103,40.7889,-111.90441000000001,324,324,Petroleum,CUMENE,000098828,NO,YES,Pounds,0.0,64.0,324,324,0.0,30.5,4.3,1.6,Fac Spec,Fac Spec,Fac Spec
4,000098828,2B,1990,84066PNNZLWESTH,110000913218,PENNZOIL PRODUCTS CO ROOSEVELT REFINERY,ROOSEVELT,DUCHESNE,UT,84066,40.388555,-110.12491000000001,324,324,Petroleum,CUMENE,000098828,NO,YES,Pounds,100.0,100.0,324,324,0.0,10.7,11.6,1.0,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit
5,000098828,2B,1991,84066PNNZLWESTH,110000913218,PENNZOIL PRODUCTS CO ROOSEVELT REFINERY,ROOSEVELT,DUCHESNE,UT,84066,40.388555,-110.12491000000001,324,324,Petroleum,CUMENE,000098828,NO,YES,Pounds,110.0,130.0,324,324,240.0,10.7,11.6,1.0,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit
6,000098828,2B,1992,84066PNNZLWESTH,110000913218,PENNZOIL PRODUCTS CO ROOSEVELT REFINERY,ROOSEVELT,DUCHESNE,UT,84066,40.388555,-110.12491000000001,324,324,Petroleum,CUMENE,000098828,NO,YES,Pounds,600.0,200.0,324,324,810.0,10.7,11.6,1.0,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit
7,000098828,2B,1993,84066PNNZLWESTH,110000913218,PENNZOIL PRODUCTS CO ROOSEVELT REFINERY,ROOSEVELT,DUCHESNE,UT,84066,40.388555,-110.12491000000001,324,324,Petroleum,CUMENE,000098828,NO,YES,Pounds,14.0,190.0,324,324,200.0,10.7,11.6,1.0,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit
8,000098828,2B,1994,84066PNNZLWESTH,110000913218,PENNZOIL PRODUCTS CO ROOSEVELT REFINERY,ROOSEVELT,DUCHESNE,UT,84066,40.388555,-110.12491000000001,324,324,Petroleum,CUMENE,000098828,NO,YES,Pounds,11.0,120.0,324,324,130.0,10.7,11.6,1.0,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit
9,000098828,2B,1995,84116CHVRN2351N,110000469485,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,SALT LAKE CITY,SALT LAKE,UT,84116,40.8249,-111.9238,324,324,Petroleum,CUMENE,000098828,NO,YES,Pounds,250.0,5.0,324,324,10070.0,22.6,1.2,0.6,Fac Spec,Fac Spec,Fac Spec
10,000098828,2B,1995,84020CTTNW12757,110001884275,COTTONWOOD CABINETS,DRAPER,SALT LAKE,UT,84020,40.51956,-111.89072,337,337,Furniture,CUMENE,000098828,NO,YES,Pounds,1.0,25.0,337,337,41.0,8.2,10.7,0.8,NAICS 4 Digit,NAICS 4 Digit,NAICS 4 Digit
11,000098828,2B,1996,84116CHVRN2351N,110000469485,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,SALT LAKE CITY,SALT LAKE,UT,84116,40.8249,-111.9238,324,324,Petroleum,CUMENE,000098828,NO,YES,Pounds,250.0,5.0,324,324,4460.0,22.6,1.2,0.6,Fac Spec,Fac Spec,Fac Spec
12,000098828,2B,1996,84103MCLCM474WE,110000469243,TESORO REFINING & MARKETING COMPANY LLC - SLC,SALT LAKE CITY,SALT LAKE,UT,84103,40.7889,-111.90441000000001,324,324,Petroleum,CUMENE,000098828,NO,YES,Pounds,5.0,5.0,324,324,17.0,30.5,4.3,1.6,Fac Spec,Fac Spec,Fac Spec
13,000098828,2B,1996,84087CRYSN2355S,110000499069,SILVER EAGLE REFINING WOODS CROSS,WOODS CROSS,DAVIS,UT,84087,40.86631,-111.91187,324,324,Petroleum,CUMENE,000098828,NO,YES,Pounds,6.0,7.0,324,324,243.0,18.1,2.4,0.9,Fac Spec,Fac Spec,Fac Spec
14,000098828,2B,1997,84116CHVRN2351N,110000469485,CHEVRON PRODUCTS CO - SALT LAKE REFINERY,SALT LAKE CITY,SALT LAKE,UT,84116,40.8249,-111.9238,324,324,Petroleum,CUMENE,000098828,NO,YES,Pounds,34.0,26.0,324,324,2610.0,22.6,1.2,0.6,Fac Spec,Fac Spec,Fac Spec
15,000098828,2B,1997,84103MCLCM474WE,110000469243,TESORO REFINING & MARKETING COMPANY LLC - SLC,SALT LAKE CITY,SALT LAKE,UT,84103,40.7889,-111.90441000000001,324,324,Petroleum,CUMENE,000098828,NO,YES,Pounds,5.0,250.0,324,324,20.0,30.5,4.3,1.6,Fac Spec,Fac Spec,Fac Spec
