lati,long,zagl,Chemical,Release (lbs/year),YEAR,id
40.7889,-111.90441,30.5,CUMENE,64.0,1990,0
40.7889,-111.90441,30.5,NAPHTHALENE,24.0,1990,0
40.7889,-111.90441,30.5,BENZENE,6284.0,1990,0
40.7889,-111.90441,30.5,ETHYLBENZENE,1372.0,1990,0
41.10335,-112.03189,0.0,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",250.0,1990,1
41.744977,-111.849247,0.0,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",250.0,1990,2
41.20345,-111.98239,2.1,METHYL ISOBUTYL KETONE,9593.0,1990,3
41.20345,-111.98239,2.1,DICHLOROMETHANE,8537.0,1990,3
40.653604,-112.054074,22.5,"1,4-DIOXANE",32650.0,1990,4
40.653604,-112.054074,22.5,DICHLOROMETHANE,1419187.0,1990,4
40.67413,-111.92328,9.8,DI(2-ETHYLHEXYL) PHTHALATE,2993.0,1990,5
40.67413,-111.92328,9.8,DI(2-ETHYLHEXYL) PHTHALATE,2993.0,1990,5
40.67413,-111.92328,9.8,ETHYLENE OXIDE,3966.0,1990,5
40.67413,-111.92328,0.0,ETHYLENE OXIDE,2698.0,1990,6
41.093219,-112.028221,0.0,STYRENE,1769.0,1990,7
41.093219,-112.028221,0.0,DICHLOROMETHANE,36000.0,1990,7
40.668325,-112.091908,0.0,DICHLOROMETHANE,4933.0,1990,8
40.668325,-112.091908,0.0,"1,4-DIOXANE",224.0,1990,8
40.69384,-111.89586,0.0,DICHLOROMETHANE,250.0,1990,9
40.81676,-111.92468,0.0,NICKEL,250.0,1990,10
40.18577,-111.63096000000002,0.0,NICKEL,250.0,1990,11
40.76498,-111.91061,0.0,NICKEL,5.0,1990,12
40.74156,-111.95802,0.0,NICKEL,5.0,1990,13
41.744977,-111.849247,10.0,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",1500.0,1990,14
40.72817,-111.88824,0.0,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",250.0,1990,15
41.8825,-112.1964,33.0,LEAD,8362.0,1990,16
41.8825,-112.1964,33.0,CADMIUM,181.0,1990,16
41.8825,-112.1964,33.0,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",133401.0,1990,16
40.78312,-111.95353,8.4,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",250.0,1990,17
40.86631,-111.91187,18.1,BENZENE,250.0,1990,18
40.86631,-111.91187,18.1,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",250.0,1990,18
40.86631,-111.91187,18.1,ETHYLBENZENE,5.0,1990,18
40.273497,-111.676065,10.1,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",280.0,1990,19
40.73416,-111.958,11.0,NICKEL,5.0,1990,20
40.73416,-111.958,11.0,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",250.0,1990,20
40.734036,-112.14104,36.7,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",390000.0,1990,21
40.78202,-112.01349,10.1,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",5.0,1990,22
40.74203,-111.94455,17.6,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",250.0,1990,23
40.72803,-111.97521,11.0,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",17.0,1990,24
40.668325,-112.091908,11.6,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",2.0,1990,25
40.668325,-112.091908,11.6,DICHLOROMETHANE,5.0,1990,25
40.668325,-112.091908,11.6,"1,4-DIOXANE",1359.0,1990,25
40.726834,-112.186278,16.6,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",5.0,1990,26
40.74546,-111.95802,9.1,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",5.0,1990,27
40.72557000000001,-112.00081000000002,28.0,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",5.0,1990,28
41.260369,-112.231233,11.8,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",5.0,1990,29
41.260369,-112.231233,11.8,METHYL ISOBUTYL KETONE,250.0,1990,29
40.58775,-111.96951,12.5,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",1863.0,1990,30
41.10335,-112.03189,9.1,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",3600.0,1990,31
40.78312,-111.95353,0.0,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",250.0,1990,32
40.273497,-111.676065,0.0,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",750.0,1990,33
40.73416,-111.958,0.0,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",5.0,1990,34
40.73516,-111.91114,8.8,METHYL ISOBUTYL KETONE,58602.0,1990,35
40.57565,-112.02104,7.0,METHYL ISOBUTYL KETONE,6989.0,1990,36
40.7523,-111.9045,9.1,METHYL ISOBUTYL KETONE,12800.0,1990,37
40.640035,-111.90184,0.8,METHYL ISOBUTYL KETONE,8200.0,1990,38
40.729392,-111.97442,11.0,DI(2-ETHYLHEXYL) PHTHALATE,5314.0,1990,39
40.729392,-111.97442,11.0,DI(2-ETHYLHEXYL) PHTHALATE,5314.0,1990,39
41.09394,-112.01698,16.6,"1,4-DIOXANE",2400.0,1990,40
41.663,-112.432,9.1,"1,4-DIOXANE",2600.0,1990,41
40.69384,-111.89586,15.2,STYRENE,24079.0,1990,42
40.736783,-111.96595,16.6,MOLYBDENUM TRIOXIDE,1254.0,1990,43
40.388555,-110.12491,0.0,NAPHTHALENE,53.0,1990,44
40.388555,-110.12491,0.0,CUMENE,100.0,1990,44
40.388555,-110.12491,0.0,ETHYLBENZENE,230.0,1990,44
40.388555,-110.12491,0.0,BENZENE,640.0,1990,44
40.297058,-111.734076,0.0,QUINOLINE,72.0,1990,45
40.297058,-111.734076,0.0,NAPHTHALENE,33555.0,1990,45
40.297058,-111.734076,0.0,STYRENE,203.0,1990,45
40.297058,-111.734076,0.0,BENZENE,84964.0,1990,45
40.8249,-111.9238,0.0,BENZENE,43000.0,1990,46
40.8249,-111.9238,0.0,"1,2-DIBROMOETHANE",250.0,1990,46
40.8249,-111.9238,0.0,NAPHTHALENE,10000.0,1990,46
40.8249,-111.9238,0.0,ETHYLBENZENE,12000.0,1990,46
40.8249,-111.9238,0.0,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",250.0,1990,46
40.8249,-111.9238,0.0,"1,2-DICHLOROETHANE",1100.0,1990,46
40.7889,-111.90441,0.0,NAPHTHALENE,373.0,1990,47
